rating,date,variation,verified_reviews,feedback,sentiment,final_sentiment
5,31-Jul-18,Charcoal Fabric ,love my echo,1,5,Positive
5,31-Jul-18,Charcoal Fabric ,loved it,1,5,Positive
4,31-Jul-18,Walnut Finish ,sometimes while playing a game  you can answer a question correctly but alexa says you got it wrong and answers the same as you  i like being able to turn lights on and off while away from home,1,4,Positive
5,31-Jul-18,Charcoal Fabric ,i have had a lot of fun with this thing  my 4 yr old learns about dinosaurs  i control the lights and play games like categories  has nice sound when playing music as well,1,4,Positive
5,31-Jul-18,Charcoal Fabric ,music,1,5,Positive
5,31-Jul-18,Heather Gray Fabric ,i received the echo as a gift  i needed another bluetooth or something to play music easily accessible  and found this smart speaker  can t wait to see what else it can do,1,5,Positive
3,31-Jul-18,Sandstone Fabric ,without having a cellphone  i cannot use many of her features  i have an ipad but do not see that of any use  it is a great alarm  if u r almost deaf  you can hear her alarm in the bedroom from out in the living room  so that is reason enough to keep her it is fun to ask random questions to hear her response  she does not seem to be very smartbon politics yet,1,4,Positive
5,31-Jul-18,Charcoal Fabric ,i think this is the 5th one i have purchased  i am working on getting one in every room of my house  i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,looks great,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,love it  i ve listened to songs i haven t heard since childhood  i get the news  weather  information  it s great,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i sent it to my 85 year old dad  and he talks to it constantly,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,i love it  learning knew things with it eveyday  still figuring out how everything works but so far it is been easy to use and understand  she does make me laugh at times,1,5,Positive
5,30-Jul-18,Oak Finish ,i purchased this for my mother who is having knee problems now  to give her something to do while trying to over come not getting around so fast like she did she enjoys all the little and big things it can do   alexa play this song  what time is it and where  and how to cook this and that,1,5,Positive
5,30-Jul-18,Charcoal Fabric ,love  love  love,1,5,Positive
5,30-Jul-18,Oak Finish ,just what i expected,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,i love it  wife hates it,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,really happy with this purchase  great speaker and easy to set up,1,5,Positive
5,30-Jul-18,Heather Gray Fabric ,we have only been using alexa for a couple of days and are having a lot of fun with our new toy  it like having a new household member  we are trying to learn all the different featues and benefits that come with it,1,4,Positive
5,30-Jul-18,Charcoal Fabric ,we love the size of the 2nd generation echo  still needs a little improvement on sound,1,4,Positive
